,Short RDate FY,Utility Type,Bname,Fiscal Year,bldg sqft,MTCO2,kg CO2 / sq ft
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,1.780605469,0.003
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,6.908024247,0.012
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,2.073689239,0.004
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,-2.073689239,-0.004
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,-1.780605469,-0.003
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,-4.186721549,-0.007
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,4.186721549,0.007
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,279.2345673,0.490
,FY 19,Electric,FISHER RAY BASEBALL STADIUM,2019,30275,14.19444926,0.469
,FY 19,Electric,KEEN CLIFFORD P ARENA,2019,37261,17.2008787,0.462
,FY 19,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2019,89001,34.03794452,0.382
,FY 19,Electric,FIELD HOCKEY COMPLEX,2019,14683,17.39264,1.185
,FY 19,Electric,CRISLER ARENA,2019,264016,144.8213993,0.549
,FY 19,Electric,CRISLER ARENA,2019,264016,2.31168,0.009
,FY 06,Electric,MICHIGAN STADIUM COMPLEX,2006,153636,27.7191564,0.180
,FY 06,Electric,MICHIGAN STADIUM COMPLEX,2006,153636,13.43445438,0.087
,FY 06,Electric,KEEN CLIFFORD P ARENA,2006,38816,10.22096607,0.263
,FY 06,Electric,SHEPHERD WOMENS GYMNASTIC,2006,22837,6.78589184,0.297
,FY 06,Electric,INDOOR TRACK BUILDING,2006,68102,14.14608656,0.208
,FY 06,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2006,14149,6.634298461,0.469
,FY 06,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2006,88863,54.04478144,0.608
,FY 06,Electric,CANHAM DONALD B NATATORIUM,2006,77721,90.49390423,1.164
,FY 06,Electric,ROSS STEPHEN M ACADEMIC CENTER,2006,0,25.47155966,#DIV/0!
,FY 06,Electric,WEIDENBACH JOHN P HALL,2006,23223,12.06613033,0.520
,FY 06,Electric,SCHEMBECHLER GLENN E HALL,2006,69698,19.693604,0.283
,FY 06,Electric,SCHEMBECHLER GLENN E HALL,2006,69698,39.39311667,0.565
,FY 06,Electric,CRISLER ARENA,2006,386320,101.8727627,0.264
,FY 06,Electric,CRISLER ARENA,2006,386320,0,0.000
,FY 06,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2006,76247,23.8420101,0.313
,FY 06,Electric,ATH CREW BOATHOUSE FACILITY,2006,7454,1.795686334,0.241
,FY 06,Electric,ATH CREW BOATHOUSE FACILITY,2006,7454,0.012117664,0.002
,FY 06,Electric,FISHER RAY BASEBALL STADIUM,2006,11556,7.422639708,0.642
,FY 06,Electric,FISHER RAY BASEBALL STADIUM,2006,11556,-7.422639708,-0.642
,FY 06,Electric,FISHER RAY BASEBALL STADIUM,2006,11556,7.422639708,0.642
,FY 06,Electric,RADRICK FARMS GOLF CLUBHOUSE,2006,10715,1.788112794,0.167
,FY 06,Electric,RADRICK FARMS GOLF CLUBHOUSE,2006,10715,5.39236048,0.503
,FY 06,Electric,RADRICK FARMS CARETAKERS HOUSE,2006,2874,3.474740152,1.209
,FY 11,Electric,SHEPHERD WOMENS GYMNASTIC,2011,22837,9.31156688,0.408
,FY 11,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2011,14550,5.396236425,0.371
,FY 11,Electric,MICHIGAN STADIUM COMPLEX,2011,153630,226.0531,1.471
,FY 11,Electric,FISHER RAY BASEBALL STADIUM,2011,30167,16.04162276,0.532
,FY 11,Electric,ROSS STEPHEN M ACADEMIC CENTER,2011,45356,34.94659415,0.770
,FY 11,Electric,CANHAM DONALD B NATATORIUM,2011,77721,123.6828227,1.591
,FY 11,Electric,WEIDENBACH JOHN P HALL,2011,23223,15.54810881,0.670
,FY 11,Electric,ATH CREW BOATHOUSE FACILITY,2011,7454,1.924884992,0.258
,FY 11,Electric,ATH CREW BOATHOUSE FACILITY,2011,7454,0,0.000
,FY 11,Electric,ATH CREW BOATHOUSE FACILITY,2011,7454,1.707372531,0.229
,FY 11,Electric,ATH CREW BOATHOUSE FACILITY,2011,7454,0.072805376,0.010
,FY 11,Electric,GLICK AL FIELD HOUSE,2011,105709,60.66979952,0.574
,FY 11,Electric,CRISLER ARENA,2011,201311,59.62132429,0.296
,FY 11,Electric,CRISLER ARENA,2011,201311,37.27553479,0.185
,FY 11,Electric,RADRICK FARMS GOLF CLUBHOUSE,2011,10715,8.786279625,0.820
,FY 11,Electric,RADRICK FARMS CARETAKERS HOUSE,2011,2874,3.43137286,1.194
,FY 11,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2011,78402,15.62310358,0.199
,FY 11,Electric,SCHEMBECHLER GLENN E HALL,2011,77187,25.28618909,0.328
,FY 11,Electric,SCHEMBECHLER GLENN E HALL,2011,77187,50.57996959,0.655
,FY 11,Electric,KEEN CLIFFORD P ARENA,2011,38816,21.2806121,0.548
,FY 11,Electric,BAHNA WRESTLING  CENTER,2011,22072,25.33471768,1.148
,FY 11,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2011,88863,60.70657888,0.683
,FY 11,Electric,INTERCOLLEGIATE SOCCER STADIUM,2011,17368,5.32089536,0.306
,FY 11,Electric,INDOOR TRACK BUILDING,2011,69183,12.84974868,0.186
,FY 19,Electric,ALUMNI FIELD,2019,12209,5.299820995,0.434
,FY 19,Electric,GLICK AL FIELD HOUSE,2019,107253,62.72081092,0.585
,FY 19,Electric,SCHEMBECHLER GLENN E HALL,2019,90891,-1.766428702,-0.019
,FY 19,Electric,SCHEMBECHLER GLENN E HALL,2019,90891,26.83739349,0.295
,FY 19,Electric,SCHEMBECHLER GLENN E HALL,2019,90891,-9.648989639,-0.106
,FY 19,Electric,SCHEMBECHLER GLENN E HALL,2019,90891,-3.533392293,-0.039
,FY 19,Electric,SCHEMBECHLER GLENN E HALL,2019,90891,-19.30087917,-0.212
,FY 19,Electric,SCHEMBECHLER GLENN E HALL,2019,90891,53.68284126,0.591
,FY 19,Electric,INDOOR TRACK BUILDING,2019,69183,10.03646141,0.145
,FY 19,Electric,WEIDENBACH JOHN P HALL,2019,23229,33.92743028,1.461
,FY 19,Electric,WEIDENBACH JOHN P HALL,2019,23229,-16.98117639,-0.731
,FY 19,Electric,WEIDENBACH JOHN P HALL,2019,23229,-4.001057622,-0.172
,FY 19,Electric,BAHNA WRESTLING  CENTER,2019,22072,17.28256,0.783
,FY 19,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2019,89026,48.4352,0.544
,FY 19,Electric,INTERCOLLEGIATE SOCCER STADIUM,2019,17382,12.98944,0.747
,FY 19,Electric,ROSS STEPHEN M ACADEMIC CENTER,2019,45356,29.16338233,0.643
,FY 19,Electric,CANHAM DONALD B NATATORIUM,2019,77639,99.5441564,1.282
,FY 19,Electric,CANHAM DONALD B NATATORIUM,2019,77639,-7.308085803,-0.094
,FY 19,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2019,14649,4.001057622,0.273
,FY 19,Electric,ATH CREW BOATHOUSE FACILITY,2019,7454,1.920208,0.258
,FY 19,Electric,SHEPHERD WOMENS GYMNASTIC,2019,22837,18.1632,0.795
,FY 19,Electric,RADRICK FARMS GOLF CLUBHOUSE,2019,10725,1.945664,0.181
,FY 19,Electric,RADRICK FARMS GOLF CLUBHOUSE,2019,10725,5.88928,0.549
,FY 19,Electric,RADRICK FARMS CARETAKERS HOUSE,2019,2874,2.86208,0.996
,FY 19,Electric,RADRICK FARMS CARETAKERS HOUSE,2019,2874,1.077408,0.375
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,3.867998474,0.007
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,84.74011058,0.149
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,119.3041029,0.209
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,-6.740926713,-0.012
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,-1.973342307,-0.003
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,-1.938861864,-0.003
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,1.973342307,0.003
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,6.740926713,0.012
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,1.938861864,0.003
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,15.98389587,0.028
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,-3.867998474,-0.007
,FY 19,Electric,MICHIGAN STADIUM COMPLEX,2019,570377,95.06877165,0.167
,FY 19,Electric,FISHER RAY BASEBALL STADIUM,2019,30275,19.93721134,0.659
,FY 19,Electric,KEEN CLIFFORD P ARENA,2019,37261,16.98117639,0.456
,FY 19,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2019,89001,28.94986881,0.325
,FY 19,Electric,FIELD HOCKEY COMPLEX,2019,14683,15.30112,1.042
,FY 19,Electric,CRISLER ARENA,2019,264016,143.4130058,0.543
,FY 19,Electric,CRISLER ARENA,2019,264016,2.42176,0.009
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,5.438987768,0.010
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,1.508125601,0.003
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,3.996063925,0.007
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-1.508125601,-0.003
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,405.7943074,0.711
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-2.065466658,-0.004
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,2.065466658,0.004
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-5.438987768,-0.010
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-3.996063925,-0.007
,FY 18,Electric,INDOOR TRACK BUILDING,2018,69183,19.32606911,0.279
,FY 18,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2018,78278,29.75701067,0.380
,FY 18,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2018,89026,63.98896,0.719
,FY 18,Electric,ALUMNI FIELD,2018,12209,12.60582213,1.033
,FY 18,Electric,KEEN CLIFFORD P ARENA,2018,37261,13.04347777,0.350
,FY 18,Electric,GLICK AL FIELD HOUSE,2018,105709,70.3701141,0.666
,FY 18,Electric,RADRICK FARMS GOLF CLUBHOUSE,2018,10725,0.010185,0.001
,FY 18,Electric,RADRICK FARMS GOLF CLUBHOUSE,2018,10725,4.144616,0.386
,FY 18,Electric,RADRICK FARMS CARETAKERS HOUSE,2018,2874,0.721777,0.251
,FY 18,Electric,RADRICK FARMS CARETAKERS HOUSE,2018,2874,2.00984,0.699
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,-4.201520918,-0.049
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,21.08068415,0.246
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,-8.404301212,-0.098
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,42.16770091,0.493
,FY 18,Electric,FISHER RAY BASEBALL STADIUM,2018,30167,28.08007504,0.931
,FY 18,Electric,CRISLER ARENA,2018,264041,118.6551422,0.449
,FY 18,Electric,CRISLER ARENA,2018,264041,2.4444,0.009
,FY 18,Electric,FIELD HOCKEY COMPLEX,2018,14683,12.4936,0.851
,FY 18,Electric,WEIDENBACH JOHN P HALL,2018,23229,13.40476696,0.577
,FY 18,Electric,WEIDENBACH JOHN P HALL,2018,23229,-6.014638908,-0.259
,FY 18,Electric,INTERCOLLEGIATE SOCCER STADIUM,2018,17382,10.97264,0.631
,FY 18,Electric,CANHAM DONALD B NATATORIUM,2018,77639,62.33243433,0.803
,FY 18,Electric,ROSS STEPHEN M ACADEMIC CENTER,2018,45356,18.38912877,0.405
,FY 18,Electric,ATH CREW BOATHOUSE FACILITY,2018,7454,2.623656,0.352
,FY 18,Electric,SHEPHERD WOMENS GYMNASTIC,2018,22837,12.16768,0.533
,FY 18,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2018,14649,6.014638908,0.411
,FY 18,Electric,BAHNA WRESTLING  CENTER,2018,22072,24.76992,1.122
,FY 21,Electric,ROSS STEPHEN M ACADEMIC CENTER,2021,45356,14.4070432,0.318
,FY 21,Electric,CANHAM DONALD B NATATORIUM,2021,77639,53.26652943,0.686
,FY 21,Electric,SHEPHERD WOMENS GYMNASTIC,2021,22837,5.11424,0.224
,FY 21,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2021,89001,17.67189697,0.199
,FY 21,Electric,RADRICK FARMS GOLF CLUBHOUSE,2021,10725,3.619268,0.337
,FY 21,Electric,INDOOR TRACK BUILDING,2021,69183,7.964661973,0.115
,FY 21,Electric,RADRICK FARMS CARETAKERS HOUSE,2021,2874,1.21568,0.423
,FY 21,Electric,RADRICK FARMS CARETAKERS HOUSE,2021,2874,0.549676,0.191
,FY 21,Electric,FISHER RAY BASEBALL STADIUM,2021,30275,14.48861963,0.479
,FY 21,Electric,BAHNA WRESTLING  CENTER,2021,22072,10.10272,0.458
,FY 21,Electric,WEIDENBACH JOHN P HALL,2021,23229,4.327862841,0.186
,FY 21,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2021,14649,1.979755575,0.135
,FY 21,Electric,SCHEMBECHLER GLENN E HALL,2021,90891,13.75365558,0.151
,FY 21,Electric,SCHEMBECHLER GLENN E HALL,2021,90891,-2.340208368,-0.026
,FY 21,Electric,SCHEMBECHLER GLENN E HALL,2021,90891,27.51143671,0.303
,FY 21,Electric,SCHEMBECHLER GLENN E HALL,2021,90891,-4.681113909,-0.052
,FY 21,Electric,CRISLER ARENA,2021,265276,2.691662599,0.010
,FY 21,Electric,CRISLER ARENA,2021,265276,66.58432973,0.251
,FY 21,Electric,CRISLER ARENA,2021,265276,1.71872,0.006
,FY 21,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2021,89026,17.10336,0.192
,FY 21,Electric,FIELD HOCKEY COMPLEX,2021,14683,8.384,0.571
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,6.222448318,0.011
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,1.828821224,0.003
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,2.871705718,0.005
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,1.574029664,0.003
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,-1.574029664,-0.003
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,-6.222448318,-0.011
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,-1.828821224,-0.003
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,214.3968556,0.376
,FY 21,Electric,MICHIGAN STADIUM COMPLEX,2021,570378,-2.871705718,-0.005
,FY 21,Electric,KEEN CLIFFORD P ARENA,2021,37261,9.406803764,0.252
,FY 21,Electric,ALUMNI FIELD,2021,12209,7.021322278,0.575
,FY 21,Electric,INTERCOLLEGIATE SOCCER STADIUM,2021,17382,4.86272,0.280
,FY 21,Electric,GLICK AL FIELD HOUSE,2021,107253,25.62362171,0.239
,FY 13,Electric,WEIDENBACH JOHN P HALL,2013,23232,14.19559097,0.611
,FY 13,Electric,SCHEMBECHLER GLENN E HALL,2013,77187,22.80439225,0.295
,FY 13,Electric,SCHEMBECHLER GLENN E HALL,2013,77187,45.61561897,0.591
,FY 13,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2013,88863,42.08246784,0.474
,FY 13,Electric,INTERCOLLEGIATE SOCCER STADIUM,2013,17382,12.64978944,0.728
,FY 13,Electric,GLICK AL FIELD HOUSE,2013,105709,49.20511638,0.465
,FY 13,Electric,KEEN CLIFFORD P ARENA,2013,38816,16.86917478,0.435
,FY 13,Electric,SHEPHERD WOMENS GYMNASTIC,2013,22837,26.80252416,1.174
,FY 13,Electric,BAHNA WRESTLING  CENTER,2013,22072,30.62251008,1.387
,FY 13,Electric,CANHAM DONALD B NATATORIUM,2013,77639,91.79925215,1.182
,FY 13,Electric,ROSS STEPHEN M ACADEMIC CENTER,2013,45356,33.88127564,0.747
,FY 13,Electric,ATH CREW BOATHOUSE FACILITY,2013,7454,2.346786432,0.315
,FY 13,Electric,FISHER RAY BASEBALL STADIUM,2013,30167,12.94433815,0.429
,FY 13,Electric,CRISLER ARENA,2013,201311,0,0.000
,FY 13,Electric,CRISLER ARENA,2013,201311,152.4843641,0.757
,FY 13,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2013,14550,5.078206741,0.349
,FY 13,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2013,78402,9.676961467,0.123
,FY 13,Electric,RADRICK FARMS GOLF CLUBHOUSE,2013,10715,8.20357632,0.766
,FY 13,Electric,RADRICK FARMS GOLF CLUBHOUSE,2013,10715,2.619195264,0.244
,FY 13,Electric,RADRICK FARMS CARETAKERS HOUSE,2013,2874,11.45995776,3.987
,FY 13,Electric,RADRICK FARMS CARETAKERS HOUSE,2013,2874,1.51077312,0.526
,FY 13,Electric,INDOOR TRACK BUILDING,2013,69183,11.62335474,0.168
,FY 13,Electric,MICHIGAN STADIUM COMPLEX,2013,153630,337.5415806,2.197
,FY 16,Electric,ALUMNI FIELD,2016,12209,2.850852119,0.234
,FY 16,Electric,FIELD HOCKEY COMPLEX,2016,14683,14.552576,0.991
,FY 16,Electric,CANHAM DONALD B NATATORIUM,2016,77639,98.27039182,1.266
,FY 16,Electric,CANHAM DONALD B NATATORIUM,2016,77639,-9.028443115,-0.116
,FY 16,Electric,ROSS STEPHEN M ACADEMIC CENTER,2016,45356,29.44733629,0.649
,FY 16,Electric,ATH CREW BOATHOUSE FACILITY,2016,7454,2.0151907,0.270
,FY 16,Electric,INTERCOLLEGIATE SOCCER STADIUM,2016,17382,12.165044,0.700
,FY 16,Electric,WEIDENBACH JOHN P HALL,2016,23229,32.24635473,1.388
,FY 16,Electric,WEIDENBACH JOHN P HALL,2016,23229,-15.35572619,-0.661
,FY 16,Electric,WEIDENBACH JOHN P HALL,2016,23229,-4.690500736,-0.202
,FY 16,Electric,SHEPHERD WOMENS GYMNASTIC,2016,22837,20.578252,0.901
,FY 16,Electric,CRISLER ARENA,2016,264041,2.671762,0.010
,FY 16,Electric,CRISLER ARENA,2016,264041,83.8552681,0.318
,FY 16,Electric,CRISLER ARENA,2016,264041,38.94496353,0.147
,FY 16,Electric,GLICK AL FIELD HOUSE,2016,105709,50.59368828,0.479
,FY 16,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2016,78278,26.073679,0.333
,FY 16,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2016,89026,44.90834,0.504
,FY 16,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2016,14649,4.690500736,0.320
,FY 16,Electric,INDOOR TRACK BUILDING,2016,69183,19.73433119,0.285
,FY 16,Electric,KEEN CLIFFORD P ARENA,2016,37261,15.35572619,0.412
,FY 16,Electric,BAHNA WRESTLING  CENTER,2016,22072,21.828864,0.989
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,120.7885488,0.212
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,15.07644992,0.026
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,122.3609859,0.215
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,50.39573726,0.088
,FY 16,Electric,RADRICK FARMS GOLF CLUBHOUSE,2016,10725,0.0113692,0.001
,FY 16,Electric,RADRICK FARMS GOLF CLUBHOUSE,2016,10725,8.74433595,0.815
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,-0.950187224,-0.011
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,-8.690357971,-0.102
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,28.63181832,0.335
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,57.27222047,0.670
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,-1.900664895,-0.022
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,-17.38332103,-0.203
,FY 16,Electric,RADRICK FARMS CARETAKERS HOUSE,2016,2874,0.9464859,0.329
,FY 16,Electric,RADRICK FARMS CARETAKERS HOUSE,2016,2874,8.072132,2.809
,FY 16,Electric,FISHER RAY BASEBALL STADIUM,2016,30167,21.23214566,0.704
,FY 22,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2022,89026,22.23488,0.250
,FY 22,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2022,14649,3.39642431,0.232
,FY 22,Electric,FIELD HOCKEY COMPLEX,2022,14683,11.0216,0.751
,FY 22,Electric,WEIDENBACH JOHN P HALL,2022,23229,-3.39642431,-0.146
,FY 22,Electric,WEIDENBACH JOHN P HALL,2022,23229,21.63239102,0.931
,FY 22,Electric,WEIDENBACH JOHN P HALL,2022,23229,-10.02221231,-0.431
,FY 22,Electric,RADRICK FARMS GOLF CLUBHOUSE,2022,10725,0.016173,0.002
,FY 22,Electric,RADRICK FARMS GOLF CLUBHOUSE,2022,10725,5.010635,0.467
,FY 22,Electric,RADRICK FARMS CARETAKERS HOUSE,2022,2874,5.12744,1.784
,FY 22,Electric,RADRICK FARMS CARETAKERS HOUSE,2022,2874,0.769116,0.268
,FY 22,Electric,SCHEMBECHLER GLENN E HALL,2022,90891,-5.386365626,-0.059
,FY 22,Electric,SCHEMBECHLER GLENN E HALL,2022,90891,24.87446414,0.274
,FY 22,Electric,SCHEMBECHLER GLENN E HALL,2022,90891,-0.968306857,-0.011
,FY 22,Electric,SCHEMBECHLER GLENN E HALL,2022,90891,49.75639436,0.547
,FY 22,Electric,SCHEMBECHLER GLENN E HALL,2022,90891,-10.77434487,-0.119
,FY 22,Electric,SCHEMBECHLER GLENN E HALL,2022,90891,-1.936909365,-0.021
,FY 22,Electric,GLICK AL FIELD HOUSE,2022,107253,32.05675992,0.299
,FY 22,Electric,FISHER RAY BASEBALL STADIUM,2022,30275,12.95913087,0.428
,FY 22,Electric,INTERCOLLEGIATE SOCCER STADIUM,2022,17382,5.7504,0.331
,FY 22,Electric,ALUMNI FIELD,2022,12209,2.905216222,0.238
,FY 22,Electric,KEEN CLIFFORD P ARENA,2022,37261,10.02221231,0.269
,FY 22,Electric,INDOOR TRACK BUILDING,2022,69183,4.757843682,0.069
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,3.120720858,0.005
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,1.75894528,0.003
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,35.6647706,0.063
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,-1.602214635,-0.003
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,6.968458183,0.012
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,-1.75894528,-0.003
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,36.98308904,0.065
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,-6.5249817,-0.011
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,51.22669878,0.090
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,12.0422566,0.021
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,1.602214635,0.003
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,6.5249817,0.011
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,30.36513757,0.053
,FY 22,Electric,MICHIGAN STADIUM COMPLEX,2022,570378,-3.120720858,-0.005
,FY 22,Electric,CRISLER ARENA,2022,265276,0.59735748,0.002
,FY 22,Electric,CRISLER ARENA,2022,265276,2.262264373,0.009
,FY 22,Electric,CRISLER ARENA,2022,265276,26.72471214,0.101
,FY 22,Electric,CRISLER ARENA,2022,265276,-0.59735748,-0.002
,FY 22,Electric,CRISLER ARENA,2022,265276,73.14405461,0.276
,FY 22,Electric,CRISLER ARENA,2022,265276,-2.262264373,-0.009
,FY 22,Electric,CRISLER ARENA,2022,265276,1.38968,0.005
,FY 22,Electric,ROSS STEPHEN M ACADEMIC CENTER,2022,45356,24.28434477,0.535
,FY 22,Electric,CANHAM DONALD B NATATORIUM,2022,77639,-5.970725148,-0.077
,FY 22,Electric,CANHAM DONALD B NATATORIUM,2022,77639,65.96365385,0.850
,FY 22,Electric,BAHNA WRESTLING  CENTER,2022,22072,13.178,0.597
,FY 22,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2022,89001,16.16071049,0.182
,FY 22,Electric,SHEPHERD WOMENS GYMNASTIC,2022,22837,11.0216,0.483
,FY 15,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2015,14550,5.520666291,0.379
,FY 15,Electric,SHEPHERD WOMENS GYMNASTIC,2015,22837,12.1412256,0.532
,FY 15,Electric,SHEPHERD WOMENS GYMNASTIC,2015,22837,0,0.000
,FY 15,Electric,BAHNA WRESTLING  CENTER,2015,22072,0,0.000
,FY 15,Electric,BAHNA WRESTLING  CENTER,2015,22072,22.43235968,1.016
,FY 15,Electric,FISHER RAY BASEBALL STADIUM,2015,30167,23.51744569,0.780
,FY 15,Electric,CANHAM DONALD B NATATORIUM,2015,77639,61.91613526,0.797
,FY 15,Electric,CANHAM DONALD B NATATORIUM,2015,77639,-6.311086841,-0.081
,FY 15,Electric,ROSS STEPHEN M ACADEMIC CENTER,2015,45356,19.79734641,0.436
,FY 15,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2015,78278,37.02021645,0.473
,FY 15,Electric,ATH CREW BOATHOUSE FACILITY,2015,7454,0.533346696,0.072
,FY 15,Electric,ATH CREW BOATHOUSE FACILITY,2015,7454,3.468198908,0.465
,FY 15,Electric,RADRICK FARMS GOLF CLUBHOUSE,2015,10715,0.015899224,0.001
,FY 15,Electric,RADRICK FARMS GOLF CLUBHOUSE,2015,10715,6.933507048,0.647
,FY 15,Electric,RADRICK FARMS CARETAKERS HOUSE,2015,2874,3.70018304,1.287
,FY 15,Electric,RADRICK FARMS CARETAKERS HOUSE,2015,2874,0.862171556,0.300
,FY 15,Electric,KEEN CLIFFORD P ARENA,2015,38816,12.53750089,0.323
,FY 15,Electric,ALUMNI FIELD,2015,12209,9.94736006,0.815
,FY 15,Electric,GLICK AL FIELD HOUSE,2015,105709,55.7345978,0.527
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,-12.33883734,-0.144
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,-3.315456463,-0.039
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,28.51141756,0.333
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,-24.68137911,-0.289
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,-6.631903597,-0.078
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,57.0313913,0.667
,FY 15,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2015,88863,72.73172288,0.818
,FY 15,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2015,88863,-72.73172288,-0.818
